answer_id,question,sentence_id,sentence,wiki_title,wiki_evidence,predicted_label,gold_label,predicted_label_binary,gold_label_binary,notes,error_category
8,Who developed the World Wide Web?,3,The World Wide Web was created in the nineteenth century.,Tim Berners-Lee,"Sir Timothy John Berners-Lee, also known as TimBL, is an English computer scientist best known as the inventor of the World Wide Web, HTML, the URL system, and HTTP. He is a professorial research fellow at the University of Oxford and a professor emeritus at the Massachusetts Institute of Technology (MIT).",Supported,Unsupported,Supported,Unsupported,"Evidence does not state when the World Wide Web was created, so the nineteenth-century claim is not supported.",Evidence incomplete / retrieval limitation
9,What is the tallest mountain above sea level?,3,Mount Everest is located in South America.,Mount Everest,"Mount Everest is the highest mountain on Earth above sea level. It lies in the Mahalangur Himal sub-range of the Himalayas and marks part of the China–Nepal border at its summit. Its height was most recently measured in 2020 through a joint survey by Nepalese and Chinese authorities as 8,848.86 m.",Supported,Contradicted,Supported,Unsupported,"Evidence says Mount Everest lies in the Himalayas on the China-Nepal border, not South America.",Contradiction missed / topical overlap
10,What is DNA?,2,It carries genetic information in living organisms.,DNA,"Deoxyribonucleic acid is a polymer composed of two polynucleotide chains that coil around each other to form a double helix. The polymer carries genetic instructions for the development, functioning, growth and reproduction of all known organisms and many viruses. DNA and ribonucleic acid (RNA) are nucleic acids. Alongside proteins, lipids and complex carbohydrates (polysaccharides), nucleic acids are one of the four major types of macromolecules that are essential for all known forms of life.",Unsupported,Supported,Unsupported,Supported,Evidence says DNA carries genetic instructions for organisms.,Pronoun/coreference problem
10,What is DNA?,3,DNA is made of amino acids.,DNA,"Deoxyribonucleic acid is a polymer composed of two polynucleotide chains that coil around each other to form a double helix. The polymer carries genetic instructions for the development, functioning, growth and reproduction of all known organisms and many viruses. DNA and ribonucleic acid (RNA) are nucleic acids. Alongside proteins, lipids and complex carbohydrates (polysaccharides), nucleic acids are one of the four major types of macromolecules that are essential for all known forms of life.",Supported,Contradicted,Supported,Unsupported,"Evidence says DNA is composed of polynucleotide chains, not amino acids.",Contradiction missed / topical overlap
11,Who wrote Pride and Prejudice?,2,It was first published in 1813.,Pride and Prejudice,"Pride and Prejudice is a novel by English author Jane Austen. Written when she was aged 20–21, it was her third novel scribed and became the second to see print when it was published in 1813. A novel of manners, it follows the character development of Elizabeth Bennet, the protagonist of the book, who learns about the repercussions of hasty judgments and comes to appreciate the difference between superficial goodness and actual goodness.",Unsupported,Supported,Unsupported,Supported,Evidence says the novel was published in 1813.,Pronoun/coreference problem
12,What is the currency of Japan?,3,Japan uses the euro as its official currency.,Japanese yen,"The yen  is the official currency of Japan. It is the third-most traded currency in the foreign exchange market, after the United States dollar (USD) and the euro. It is also widely used as a third reserve currency after the USD and the euro.",Supported,Contradicted,Supported,Unsupported,"Evidence says the yen is Japan's official currency, contradicting the euro claim.",Contradiction missed / topical overlap
13,What organ pumps blood through the human body?,3,The kidneys are mainly responsible for pumping blood.,Heart,"The heart is a muscular organ found in humans and other animals. This organ pumps blood through the blood vessels. The heart and blood vessels together make up the circulatory system. The pumped blood carries oxygen and nutrients to the tissue, while carrying metabolic waste such as carbon dioxide to the lungs. In humans, the heart is approximately the size of a closed fist and is located between the lungs, in the middle compartment of the chest, called the mediastinum.",Supported,Contradicted,Supported,Unsupported,"Evidence says the heart pumps blood, contradicting kidneys as mainly responsible.",Contradiction missed / topical overlap
14,What is the speed of light?,2,It is commonly represented by the symbol c. Light travels slower than sound in vacuum.,Speed of light,"The speed of light is the speed of electromagnetic waves. Light travels at slower speed inside materials like glass or water; its highest speed is in a vacuum. The speed of light in vacuum is a universal physical constant denoted c, exactly equal to 299792458 m⋅s−1. It is exact because, by international agreement, a metre is defined as the length of the path travelled by light in vacuum during a time interval of 1⁄299792458 second. The value 299,792,458 metres per second is approximately 1 billion kilometres per hour; 700 million miles per hour. For other approximations of c, valid for various units and size scales see the infobox. The shorter form, speed of light, means speed of light in vacuum in any context where the vacuum is implied.",Supported,Contradicted,Supported,Unsupported,Evidence supports symbol c but conflicts with the claim that light is slower than sound in vacuum.,Sentence splitting / mixed claim
16,What is photosynthesis?,2,It uses light energy to convert carbon dioxide and water into sugars.,Photosynthesis,"Photosynthesis is a system of biological processes by which photopigment-bearing autotrophic organisms, such as most plants, algae and cyanobacteria, convert light energy—typically from sunlight—into the chemical energy necessary to fuel their metabolism. The term photosynthesis usually refers to oxygenic photosynthesis, a process that releases oxygen as a byproduct of water splitting. Photosynthetic organisms store the converted chemical energy within the bonds of intracellular organic compounds, typically carbohydrates like sugars, starches, phytoglycogen and cellulose. When needing to use this stored energy, an organism's cells then metabolize the organic compounds through cellular respiration. Photosynthesis plays a critical role in producing and maintaining the oxygen content of the Earth's atmosphere, and it supplies most of the biological energy necessary for complex life on Earth.",Supported,Unsupported,Supported,Unsupported,Evidence supports light energy and sugars but does not clearly state carbon dioxide and water are converted into sugars.,Evidence incomplete / retrieval limitation
16,What is photosynthesis?,3,Photosynthesis mainly happens in animals.,Photosynthesis,"Photosynthesis is a system of biological processes by which photopigment-bearing autotrophic organisms, such as most plants, algae and cyanobacteria, convert light energy—typically from sunlight—into the chemical energy necessary to fuel their metabolism. The term photosynthesis usually refers to oxygenic photosynthesis, a process that releases oxygen as a byproduct of water splitting. Photosynthetic organisms store the converted chemical energy within the bonds of intracellular organic compounds, typically carbohydrates like sugars, starches, phytoglycogen and cellulose. When needing to use this stored energy, an organism's cells then metabolize the organic compounds through cellular respiration. Photosynthesis plays a critical role in producing and maintaining the oxygen content of the Earth's atmosphere, and it supplies most of the biological energy necessary for complex life on Earth.",Supported,Contradicted,Supported,Unsupported,"Evidence says photosynthesis occurs in plants, algae, and cyanobacteria, contradicting mainly animals.",Contradiction missed / topical overlap
18,Who proposed the laws of motion?,1,Isaac Newton proposed the laws of motion.,Isaac Newton,"Sir Isaac Newton was an English polymath who was a mathematician, physicist, astronomer, alchemist, theologian, author and inventor. He was a key figure in the Scientific Revolution and the Enlightenment that followed. His book Philosophiæ Naturalis Principia Mathematica, first published in 1687, achieved the first great unification in physics and established classical mechanics. Newton also made seminal contributions to optics, and shares credit with the German mathematician Gottfried Wilhelm Leibniz for formulating infinitesimal calculus, although he developed calculus years before Leibniz. Newton contributed to and refined the scientific method, and his work is considered the most influential in bringing forth modern science.",Supported,Unsupported,Supported,Unsupported,Evidence discusses Newton and classical mechanics but does not clearly mention the laws of motion.,Evidence incomplete / retrieval limitation
18,Who proposed the laws of motion?,3,Newton was born in Germany.,Isaac Newton,"Sir Isaac Newton was an English polymath who was a mathematician, physicist, astronomer, alchemist, theologian, author and inventor. He was a key figure in the Scientific Revolution and the Enlightenment that followed. His book Philosophiæ Naturalis Principia Mathematica, first published in 1687, achieved the first great unification in physics and established classical mechanics. Newton also made seminal contributions to optics, and shares credit with the German mathematician Gottfried Wilhelm Leibniz for formulating infinitesimal calculus, although he developed calculus years before Leibniz. Newton contributed to and refined the scientific method, and his work is considered the most influential in bringing forth modern science.",Supported,Unsupported,Supported,Unsupported,"Evidence does not state Newton's birthplace, so Germany is not supported by the retrieved evidence.",Evidence incomplete / retrieval limitation
19,What is the chemical formula of water?,2,Water is mainly composed of carbon dioxide.,Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance. It is the main constituent of Earth's streams, lakes, and oceans. Water is also the fluid of all known living organisms, in which it acts as a solvent. Water, being a polar molecule, undergoes strong intermolecular hydrogen bonding which is a large contributor to its physical and chemical properties. It is vital for all known forms of life, despite not providing food energy or being an organic micronutrient. Due to its presence in all organisms, its chemical stability, its worldwide abundance, and its strong polarity relative to its small molecular size, water is often referred to as the ""universal solvent"".",Supported,Contradicted,Supported,Unsupported,"Evidence says water is H2O, contradicting carbon dioxide composition.",Contradiction missed / topical overlap
20,What is the largest ocean on Earth?,3,The Atlantic Ocean is larger than the Pacific Ocean.,Pacific Ocean,"The Pacific Ocean is the largest and deepest of Earth's five oceanic divisions. It stretches from the Arctic Ocean in the north to the Southern Ocean, or, depending on the definition, to Antarctica in the south, and is bounded by the continents of Asia and Australia in the west and the Americas in the east.",Supported,Contradicted,Supported,Unsupported,"Evidence says the Pacific Ocean is the largest, contradicting the Atlantic being larger.",Contradiction missed / topical overlap
