question,ai_answer,evidence_query,answer_id,wiki_title,wiki_evidence,wiki_url,gold_label,similarity_score,predicted_label,correct
Who wrote Pride and Prejudice?,Pride and Prejudice was written by Jane Austen. It was first published in 1813. The novel was written by William Shakespeare.,Pride and Prejudice,11,Pride and Prejudice,"Pride and Prejudice is a novel by English author Jane Austen. Written when she was aged 20–21, it was her third novel scribed and became the second to see print when it was published in 1813. A novel of manners, it follows the character development of Elizabeth Bennet, the protagonist of the book, who learns about the repercussions of hasty judgments and comes to appreciate the difference between superficial goodness and actual goodness.",https://en.wikipedia.org/wiki/Pride_and_Prejudice,Unsupported,0.8329481482505798,Supported,False
What is the currency of Japan?,The currency of Japan is the yen. The yen is the official currency of Japan. Japan uses the euro as its official currency.,Japanese yen,12,Japanese yen,"The yen  is the official currency of Japan. It is the third-most traded currency in the foreign exchange market, after the United States dollar (USD) and the euro. It is also widely used as a third reserve currency after the USD and the euro.",https://en.wikipedia.org/wiki/Japanese_yen,Unsupported,0.9046462774276733,Supported,False
What organ pumps blood through the human body?,The heart pumps blood through the human body. It is part of the circulatory system. The kidneys are mainly responsible for pumping blood.,Heart,13,Heart,"The heart is a muscular organ found in humans and other animals. This organ pumps blood through the blood vessels. The heart and blood vessels together make up the circulatory system. The pumped blood carries oxygen and nutrients to the tissue, while carrying metabolic waste such as carbon dioxide to the lungs. In humans, the heart is approximately the size of a closed fist and is located between the lungs, in the middle compartment of the chest, called the mediastinum.",https://en.wikipedia.org/wiki/Heart,Unsupported,0.7766201496124268,Supported,False
What is the speed of light?,"The speed of light in vacuum is about 299,792,458 meters per second. It is commonly represented by the symbol c. Light travels slower than sound in vacuum.",Speed of light,14,Speed of light,"The speed of light is the speed of electromagnetic waves. Light travels at slower speed inside materials like glass or water; its highest speed is in a vacuum. The speed of light in vacuum is a universal physical constant denoted c, exactly equal to 299792458 m⋅s−1. It is exact because, by international agreement, a metre is defined as the length of the path travelled by light in vacuum during a time interval of 1⁄299792458 second. The value 299,792,458 metres per second is approximately 1 billion kilometres per hour; 700 million miles per hour. For other approximations of c, valid for various units and size scales see the infobox. The shorter form, speed of light, means speed of light in vacuum in any context where the vacuum is implied.",https://en.wikipedia.org/wiki/Speed_of_light,Unsupported,0.8333854675292969,Supported,False
Who discovered penicillin?,Alexander Fleming discovered penicillin in 1928. Penicillin became an important antibiotic. Fleming was born in Scotland.,Alexander Fleming,15,Alexander Fleming,"Sir Alexander Fleming was a Scottish physician and microbiologist. He shared the 1945 Nobel Prize in Physiology or Medicine with Howard Florey and Ernst Chain ""for the discovery of penicillin and its curative effect in various infectious diseases"".
This was the first antibiotic substance discovered. His discovery in 1928 of what was later named benzylpenicillin from the mould Penicillium rubens has been described as the ""single greatest victory ever achieved over disease"".",https://en.wikipedia.org/wiki/Alexander_Fleming,Unsupported,0.8114334344863892,Supported,False
What is photosynthesis?,Photosynthesis is the process plants use to make food. It uses light energy to convert carbon dioxide and water into sugars. Photosynthesis mainly happens in animals.,Photosynthesis,16,Photosynthesis,"Photosynthesis is a system of biological processes by which photopigment-bearing autotrophic organisms, such as most plants, algae and cyanobacteria, convert light energy—typically from sunlight—into the chemical energy necessary to fuel their metabolism. The term photosynthesis usually refers to oxygenic photosynthesis, a process that releases oxygen as a byproduct of water splitting. Photosynthetic organisms store the converted chemical energy within the bonds of intracellular organic compounds, typically carbohydrates like sugars, starches, phytoglycogen and cellulose. When needing to use this stored energy, an organism's cells then metabolize the organic compounds through cellular respiration. Photosynthesis plays a critical role in producing and maintaining the oxygen content of the Earth's atmosphere, and it supplies most of the biological energy necessary for complex life on Earth.",https://en.wikipedia.org/wiki/Photosynthesis,Unsupported,0.8211361765861511,Supported,False
Where is the Great Pyramid of Giza located?,The Great Pyramid of Giza is located in Egypt. It is part of the Giza pyramid complex. It was built in modern-day China.,Great Pyramid of Giza,17,Great Pyramid of Giza,"The Great Pyramid of Giza is the largest of the Egyptian pyramids and the most famous landmark of the Giza pyramid complex in Giza, Egypt. It is the oldest of the Seven Wonders of the Ancient World, and the only wonder that has remained largely intact. The Great Pyramid served as the tomb of Egyptian Pharaoh Khufu (""Cheops""), who ruled during the Fourth Dynasty of the Old Kingdom. It was built c. 2600 BC over a period of about 26 years.",https://en.wikipedia.org/wiki/Great_Pyramid_of_Giza,Unsupported,0.791229248046875,Supported,False
Who proposed the laws of motion?,Isaac Newton proposed the laws of motion. He was an English mathematician and physicist. Newton was born in Germany.,Isaac Newton,18,Isaac Newton,"Sir Isaac Newton was an English polymath who was a mathematician, physicist, astronomer, alchemist, theologian, author and inventor. He was a key figure in the Scientific Revolution and the Enlightenment that followed. His book Philosophiæ Naturalis Principia Mathematica, first published in 1687, achieved the first great unification in physics and established classical mechanics. Newton also made seminal contributions to optics, and shares credit with the German mathematician Gottfried Wilhelm Leibniz for formulating infinitesimal calculus, although he developed calculus years before Leibniz. Newton contributed to and refined the scientific method, and his work is considered the most influential in bringing forth modern science.",https://en.wikipedia.org/wiki/Isaac_Newton,Unsupported,0.7338228225708008,Supported,False
What is the chemical formula of water?,The chemical formula of water is H2O. Water is made of hydrogen and oxygen. Water is mainly composed of carbon dioxide.,Water,19,Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance. It is the main constituent of Earth's streams, lakes, and oceans. Water is also the fluid of all known living organisms, in which it acts as a solvent. Water, being a polar molecule, undergoes strong intermolecular hydrogen bonding which is a large contributor to its physical and chemical properties. It is vital for all known forms of life, despite not providing food energy or being an organic micronutrient. Due to its presence in all organisms, its chemical stability, its worldwide abundance, and its strong polarity relative to its small molecular size, water is often referred to as the ""universal solvent"".",https://en.wikipedia.org/wiki/Water,Unsupported,0.762802004814148,Supported,False
What is the largest ocean on Earth?,The Pacific Ocean is the largest ocean on Earth. It covers more area than any other ocean. The Atlantic Ocean is larger than the Pacific Ocean.,Pacific Ocean,20,Pacific Ocean,"The Pacific Ocean is the largest and deepest of Earth's five oceanic divisions. It stretches from the Arctic Ocean in the north to the Southern Ocean, or, depending on the definition, to Antarctica in the south, and is bounded by the continents of Asia and Australia in the west and the Americas in the east.",https://en.wikipedia.org/wiki/Pacific_Ocean,Unsupported,0.7811719179153442,Supported,False
